,date,prcp,month
5226,2017-01-06,0.0,2017-01-06 00:00:00
5227,2017-01-07,0.06,2017-01-07 00:00:00
5228,2017-01-08,0.0,2017-01-08 00:00:00
5229,2017-01-09,0.0,2017-01-09 00:00:00
5230,2017-01-10,0.0,2017-01-10 00:00:00
5231,2017-01-11,0.0,2017-01-11 00:00:00
5232,2017-01-12,0.0,2017-01-12 00:00:00
5233,2017-01-13,0.0,2017-01-13 00:00:00
5234,2017-01-14,0.0,2017-01-14 00:00:00
5235,2017-01-15,0.0,2017-01-15 00:00:00
5236,2017-01-16,0.0,2017-01-16 00:00:00
5237,2017-01-17,0.0,2017-01-17 00:00:00
5238,2017-01-18,0.0,2017-01-18 00:00:00
5239,2017-01-19,0.0,2017-01-19 00:00:00
5240,2017-01-20,0.0,2017-01-20 00:00:00
5241,2017-01-21,0.04,2017-01-21 00:00:00
5242,2017-01-22,0.01,2017-01-22 00:00:00
5243,2017-01-23,0.08,2017-01-23 00:00:00
5244,2017-01-24,0.15,2017-01-24 00:00:00
